epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,771.937,2.32359,3.03752,1.22071,0.00398,0.45231,0.01115,0.00485,2.23728,3.88298,1.10201,0.000656566,0.000656566,0.000656566
2,1403.18,2.1919,1.88182,1.17033,0.55414,0.27535,0.32758,0.11454,2.19868,2.37317,1.12802,0.00129703,0.00129703,0.00129703
3,1999.16,2.21528,1.54757,1.18905,0.63754,0.57846,0.55251,0.19232,2.19061,1.61766,1.20065,0.0019111,0.0019111,0.0019111
4,2335.2,2.18514,1.36504,1.18659,0.64101,0.44504,0.46519,0.16377,2.14638,1.57642,1.13023,0.0018812,0.0018812,0.0018812
5,2643.1,2.1536,1.21317,1.19389,0.6676,0.57231,0.54745,0.19681,2.19321,1.17214,1.14353,0.0018416,0.0018416,0.0018416
6,2949.3,2.14394,1.17957,1.19254,0.67835,0.54508,0.51509,0.17467,2.22496,1.22178,1.16828,0.001802,0.001802,0.001802
7,3240.32,2.13337,1.16058,1.17952,0.57364,0.48615,0.45832,0.15252,2.28213,1.4165,1.18045,0.0017624,0.0017624,0.0017624
8,3576.62,2.14012,1.13195,1.17577,0.76085,0.57757,0.58937,0.21189,2.1645,1.11887,1.14328,0.0017228,0.0017228,0.0017228
9,3871.23,2.02842,1.03344,1.12264,0.69186,0.58462,0.57125,0.21863,2.12439,1.12315,1.13266,0.0016832,0.0016832,0.0016832
10,4157.62,2.07245,1.05899,1.13881,0.67825,0.56431,0.55871,0.20415,2.11336,1.08804,1.12482,0.0016436,0.0016436,0.0016436
11,4448.27,2.04711,1.04162,1.13624,0.7311,0.60308,0.62207,0.22606,2.11991,1.09466,1.11152,0.001604,0.001604,0.001604
12,4736.8,2.05767,1.03845,1.14026,0.73555,0.60615,0.6114,0.23852,2.05674,1.04199,1.10703,0.0015644,0.0015644,0.0015644
13,5025.84,2.06767,1.03411,1.12258,0.63335,0.62186,0.5725,0.23019,2.04956,1.05913,1.10313,0.0015248,0.0015248,0.0015248
14,5314.09,1.9585,1.01191,1.12281,0.74045,0.6,0.62016,0.23505,2.17029,0.98317,1.15553,0.0014852,0.0014852,0.0014852
15,5599.99,2.06195,1.02879,1.12132,0.74282,0.54769,0.58954,0.21238,2.07615,1.0717,1.10073,0.0014456,0.0014456,0.0014456
16,5890.22,2.03623,1.01386,1.10697,0.75439,0.55759,0.62366,0.26706,2.0114,1.00771,1.08541,0.001406,0.001406,0.001406
17,6216.92,1.99002,0.98883,1.09486,0.76189,0.65538,0.66022,0.26232,2.04912,0.95576,1.09708,0.0013664,0.0013664,0.0013664
18,6505.58,1.9793,0.97489,1.09756,0.71455,0.64699,0.62487,0.23424,2.08422,0.98597,1.09667,0.0013268,0.0013268,0.0013268
19,6793.56,1.98547,0.97222,1.1062,0.72953,0.62769,0.65198,0.26067,2.02909,1.02896,1.10195,0.0012872,0.0012872,0.0012872
20,7106.69,1.99723,0.98778,1.10549,0.7556,0.62769,0.65154,0.25184,2.04827,0.94948,1.09439,0.0012476,0.0012476,0.0012476
21,7488.51,1.96961,0.98728,1.10781,0.79826,0.63385,0.64087,0.2429,2.11498,0.99508,1.10755,0.001208,0.001208,0.001208
22,7955.09,1.94109,0.93985,1.10197,0.80763,0.63299,0.65406,0.25855,2.02356,0.9247,1.09076,0.0011684,0.0011684,0.0011684
23,8418.94,1.91323,0.91888,1.06935,0.75425,0.64615,0.67246,0.2715,2.00339,0.93334,1.07168,0.0011288,0.0011288,0.0011288
24,8878.47,1.93186,0.92324,1.07822,0.75836,0.67692,0.67499,0.28122,1.97719,0.91156,1.06712,0.0010892,0.0010892,0.0010892
25,9352.68,1.93993,0.97918,1.08599,0.75049,0.64,0.65693,0.24618,2.08243,0.9862,1.10154,0.0010496,0.0010496,0.0010496
26,9814.12,1.91849,0.91041,1.09622,0.76475,0.64923,0.6875,0.2839,1.9966,0.91182,1.07449,0.00101,0.00101,0.00101
27,10276.1,1.87707,0.91521,1.08073,0.7367,0.61125,0.62445,0.23358,2.08866,0.95872,1.08805,0.0009704,0.0009704,0.0009704
28,10731.3,1.88769,0.90116,1.06186,0.78136,0.65538,0.65866,0.26192,1.98587,0.90905,1.07774,0.0009308,0.0009308,0.0009308
29,11014.7,1.83765,0.8844,1.05042,0.79883,0.67692,0.69975,0.29303,1.96118,0.85459,1.05718,0.0008912,0.0008912,0.0008912
30,11309.2,1.85865,0.87818,1.05244,0.79806,0.62015,0.67449,0.27261,2.05689,0.90121,1.09053,0.0008516,0.0008516,0.0008516
31,11638.8,1.82213,0.88081,1.04594,0.79273,0.68,0.7004,0.28612,1.9927,0.89147,1.07018,0.000812,0.000812,0.000812
32,11933.6,1.8286,0.85335,1.04998,0.75718,0.64308,0.65104,0.25572,2.07106,0.92437,1.08821,0.0007724,0.0007724,0.0007724
33,12222.4,1.82985,0.86201,1.04481,0.80328,0.66154,0.71455,0.28506,2.01383,0.88405,1.07605,0.0007328,0.0007328,0.0007328
34,12724.8,1.84899,0.86887,1.048,0.82039,0.64649,0.66779,0.24309,2.17629,0.91846,1.13554,0.0006932,0.0006932,0.0006932
